timestamp,batch_guid,database,model,total_requests,mean_latency_ms,test_duration_config,energy_j,mean_power_w,mean_cpu_percent,mean_memory_gb
20251021-112325,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.378252,27.82,1377.479858,49.518615,68.341842,20.459337
20251021-112359,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.842678,28.02,1354.148804,48.334796,65.915283,20.452625
20251021-112432,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,112.553615,27.81,1372.953796,49.365582,68.080149,20.460095
20251021-112506,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.339816,27.82,1352.162292,48.60885,66.397538,20.453285
20251021-112539,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.118541,27.81,1380.272705,49.629212,67.913241,20.456418
20251021-112613,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,118.65499,28.61,1366.196655,47.747367,64.275533,20.453076
20251021-112647,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.237781,28.01,1387.075317,49.517683,67.504918,20.460237
20251021-112721,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,115.174784,31.22,1402.334412,44.923425,59.213651,20.455034
20251021-112757,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.534181,31.21,1453.21759,46.555685,60.87403,20.469277
20251021-112834,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.338841,28.01,1359.070007,48.516983,65.995132,20.45532
20251021-112908,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,115.952796,28.22,1385.352478,49.09616,66.820504,20.472515
20251021-112942,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.190664,28.01,1355.794006,48.399784,65.960054,20.457471
20251021-113016,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,115.77347,28.42,1398.893127,49.226008,67.013353,20.476408
20251021-113050,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.337609,28.01,1357.155029,48.448419,66.314246,20.457744
20251021-113123,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.011668,27.81,1374.476074,49.419899,67.315119,20.474115
20251021-113157,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.68636,28.01,1353.065979,48.301987,65.892482,20.455519
20251021-113230,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.628096,28.21,1389.412415,49.249001,66.866741,20.470293
20251021-113304,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.923589,28.01,1353.092163,48.303473,65.187472,20.4601
20251021-113338,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,115.868202,28.42,1391.706848,48.972751,66.454644,20.472943
20251021-113412,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.825622,28.21,1358.013184,48.134409,65.831736,20.460155
20251021-113446,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,113.234101,27.81,1373.42334,49.379557,67.074152,20.472204
20251021-113519,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,115.704586,28.21,1362.75238,48.30341,65.637871,20.460515
20251021-113553,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.819399,31.21,1469.669312,47.083241,60.888822,20.471078
20251021-113630,A088A665-B39C-4E5B-877C-3AF8EF2A5589,credit_card_transactions,catboost,15000,114.471369,28.02,1357.114868,48.434564,66.248267,20.462543
