component,energy_j,energy_kWh,operational_gCO2e,duration_h,TE_kg,TS,RS,embodied_gCO2e
training,5575.034294,0.0015486206372222222,0.5729896357722222,0.05162068790740741,,,,
test_machine,603244.9148,0.16756803188888889,62.000171798888886,5.585601062962963,,,,
server_machine,961602.9001,0.2671119166944444,98.83140917694443,1.7807461112962963,,,,
operational_total,1570422.849194,0.43622856922055553,161.40457061160555,7.417967862166667,,,,
client_embodied (MacBook),,,,5.637221750870371,279.0,0.00016087961617780737,1.0,44.885412913608256
server_embodied,,,,1.7807461112962963,1000.0,4.065630391087434e-05,1.0,40.65630391087434
embodied_total,,,,,,,,85.54171682448259
grand_total (O + M),1570422.849194,0.43622856922055553,161.40457061160555,7.417967862166667,,,,85.54171682448259
"SCI_per_experiment (15,000 requests)",,,,,,,,246.94628743608814
SCI_per_request,,,,,,,,0.016463085829072542
